bookId,英文书名,中文书名,系列,词1英文,词1中文,词2英文,词2中文,词3英文,词3中文,词4英文,词4中文,词5英文,词5中文,词6英文,词6中文,词7英文,词7中文,词8英文,词8中文,词9英文,词9中文,词10英文,词10中文,词11英文,词11中文,词12英文,词12中文,词13英文,词13中文,词14英文,词14中文,词15英文,词15中文
ls-phonics-2-01,Doctor Duck,鸭子医生,丽声拼读故事会2—1,ring,打电话,rang,打电话,hopping,跳,singing,唱,sick,生病,Quick,快,Duck,鸭子,back,回来,luck,幸运的,box,盒子,mix,混合,six,六,,,,,,
ls-phonics-2-02,Singing Dad,爱唱歌的爸爸,丽声拼读故事会2—1,singer,歌手,sings,唱歌,long,整个地,Song,歌,digging,挖,chopping,砍,shod,棚,she,她,shops,商店,after,在...之后,,,,,,,,,,
ls-phonics-2-03,Fish and Chips,炸鱼薯条,丽声拼读故事会2—1,Fish,鱼,shop,店,shut,关门,Chip,薯条,Which,哪一个,much,大量的,thin,细的,This,这个,,,,,,,,,,,,,,
ls-phonics-2-04,This and That,这个和那个,丽声拼读故事会2—1,chess,国际象棋,shells,贝壳,This,这,That,那,Mr,先生,have,买,some,一些,Mrs,太太,,,,,,,,,,,,,,
ls-phonics-2-05,Miss Miss,想念小姐,丽声拼读故事会2—1,will,要,tell,告诉,ball,球,bell,铃,doll,玩具娃娃,Miss,老师,mess,一团糟,off,离开,Buzz,表示警告,,,,,,,,,,,,
ls-phonics-2-06,The Odd Pet,奇怪的宠物,丽声拼读故事会2—1,has,有,legs,腿,sit,坐,lots,很多的,eggs,蛋,yet,到目前为止,odd,奇怪的,beg,讨好,hop,跳,Now,现在,,,,,,,,,,
ls-phonics-2-07,Animal Quiz,动物猜猜看,丽声拼读故事会2—2,gull,海鸥,buzz,嗡嗡声,dish,盘子,chicks,小鸡,chips,薯条,chickens,鸡肉,puffin,海鹦,wing,翅膀,pocket,口袋,vixen,雌狐狸,their,他们的,,,,,,,,
ls-phonics-2-08,Mr Zed,泽德先生,丽声拼读故事会2—2,yelling,大喊，吼叫,yells,大喊,quill,羽毛笔,will,将要，会,puffing,大口喘气,whizzing,嗖嗖飞驰,hush,嘘,wish,希望,then,然后,them,他们,tick,滴答作响,tack,大头钉,tock,滴答声,,,,
ls-phonics-2-09,The Doll in the Bin,垃圾桶里的娃娃,丽声拼读故事会2—2,doll,洋娃娃,fell,跌倒,missing,丢失的,rubbish,垃圾,things,东西,when,什么时候,patting,轻拍,picks,捡起,boxes,盒子,school,学校,let's,让我们,wash,洗刷,,,,,,
ls-phonics-2-10,The Ox and the Yak,公牛和牦牛,丽声拼读故事会2—2,chat,聊天,sang,唱歌,long,长的,gong,铜锣,socks,袜子（复数）,pack,收拾行李,duck,鸭子,quack,鸭叫声,luck,幸运的,ox,公牛,said,说,very,非常,good,好,,,,
ls-phonics-2-11,The Seven Kids,七只小山羊,丽声拼读故事会2—2,tells,告诉,shall,将,shack,棚屋,wind,风,sack,大袋子,quick,快的,rocks,岩石,fox,狐狸,six,六,live,生活,puts,放置,,,,,,,,
ls-phonics-2-12,Ron Rabbit's Egg,兔子罗恩的蛋,丽声拼读故事会2—2,will,将要,sell,卖,shell,贝壳,jazz,爵士乐,rich,富有的,chocs,巧克力,hatch,孵化,catch,抓住,bang,砰的巨响,hammock,吊床,racket,吵闹声、球拍,jacket,夹克,pockets,口袋,sax,萨克斯管,,
youyou-3-01,Bella the Babysitter,保姆贝拉,悠游阅读成长计划3—1,couch,沙发,flour,面粉,puff,喷,sneeze,打喷嚏,tug-of-war,拔河,blanket,毯子,,,,,,,,,,,,,,,,,,
youyou-3-02,Caterpillar's Dream,毛毛虫的梦想,悠游阅读成长计划3—1,caterpillar,毛毛虫,beetle,甲虫,laugh at,嘲笑,depressed,沮丧的,strong,强壮的,change,改变,,,,,,,,,,,,,,,,,,
